Date,Open,High,Low,Close,Volume,OpenInterest
2020-07-28,377.47,378.1986,372.99,373.04,23449488,0.0
2020-07-29,375,380.92,374.85,380.27,20387893,0.0
2020-07-30,376.75,385.19,375.07,384.88,29577510,0.0
2020-07-31,411.535,425.66,403.3,425.19,86571262,0.0
2020-08-03,432.8,446.5457,431.57,435.66,73177065,0.0
2020-08-04,436.53,443.16,433.55,438.81,40871187,0.0
2020-08-05,437.51,441.57,435.59,440.339,27357431,0.0
2020-08-06,441.62,457.65,439.19,455.88,47874024,0.0
2020-08-07,452.82,454.7,441.17,444.41,45586418,0.0
2020-08-10,450.4,455.1,440,450.94,50240981,0.0
2020-08-11,447.875,449.93,436.4267,437.51,42121338,0.0
2020-08-12,441.99,453.1,441.19,452.24,38649102,0.0
2020-08-13,457.72,464.17,455.71,460.03,48059064,0.0
2020-08-14,459.315,460,452.18,459.78,38149232,0.0
2020-08-17,464.25,464.35,455.8501,458.39,25935894,0.0
2020-08-18,457.41,464,456.03,462.08,24276411,0.0
2020-08-19,463.933,468.65,462.44,462.825,33874948,0.0
2020-08-20,463,473.568,462.9335,472.83,29389880,0.0
2020-08-21,477.05,499.472,477,497.4,79453112,0.0
2020-08-24,505.625,514.7809,495.745,503.79,57811323,0.0
2020-08-25,498.79,500.7172,492.21,499.31,49446300,0.0
2020-08-26,504.7165,507.97,500.33,506.19,37949023,0.0
2020-08-27,508.57,509.94,495.33,500.04,36319905,0.0
2020-08-28,504.05,505.77,498.31,498.83,38201316,0.0
2020-08-31,127.58,131,126,128.85,199136542,0.0
2020-09-01,132.76,134.8,130.53,134.2,138233208,0.0
2020-09-02,137.59,137.98,127,131.22,184800962,0.0
2020-09-03,126.91,128.84,120.5,120.92,227958928,0.0
2020-09-04,120.07,123.7,110.89,120.9,308854725,0.0
2020-09-08,113.95,118.99,112.68,112.83,207475295,0.0
2020-09-09,117.26,119.14,115.26,117.18,154399690,0.0
2020-09-10,118.454,120.05,112.5,113.48,146121064,0.0
2020-09-11,114.57,115.23,110,112.01,168935205,0.0
2020-09-14,114.72,115.93,112.8,115.3599,123181741,0.0
2020-09-15,118.33,118.829,113.61,115.55,171609548,0.0
2020-09-16,115.23,116,112.04,112.13,142859370,0.0
2020-09-17,109.72,112.2,108.71,110.32,159638807,0.0
2020-09-18,110.4,110.88,106.09,106.6,208107357,0.0
2020-09-21,104.54,110.19,103.1,110.13,178442044,0.0
2020-09-22,112.68,112.86,109.16,111.8,166977998,0.0
2020-09-23,111.62,112.11,106.77,107.23,131794926,0.0
2020-09-24,105.17,110.25,105,108.2015,152123922,0.0
2020-09-25,108.43,112.44,107.67,112.28,137542199,0.0
2020-09-28,114.98,115.32,112.78,115,119572328,0.0
2020-09-29,114.55,115.31,113.57,114.11,89125872,0.0
2020-09-30,113.77,117.25,113.62,115.61,115978209,0.0
2020-10-01,117.64,117.72,115.83,116.8,97249509,0.0
2020-10-02,112.89,115.37,112.22,113.02,122250383,0.0
2020-10-05,113.92,116.65,113.55,116.54,93846463,0.0
2020-10-06,115.7,116.12,112.25,113.16,142211773,0.0
2020-10-07,114.62,115.51,114.13,115.05,84487218,0.0
2020-10-08,116.27,116.4,114.5901,114.97,74393532,0.0
2020-10-09,115.28,117,114.92,116.98,86041259,0.0
2020-10-12,120.06,125.18,119.2845,124.42,214339341,0.0
2020-10-13,124.53,124.74,119.65,121.05,235482931,0.0
2020-10-14,120.99,123.03,119.62,121.29,134225383,0.0
2020-10-15,118.72,121.2,118.15,120.7453,97188922,0.0
2020-10-16,121.28,121.548,118.81,118.96,101036728,0.0
2020-10-19,119.96,120.419,115.66,116,102829828,0.0
2020-10-20,116.19,118.98,115.63,117.5,108602099,0.0
2020-10-21,116.67,118.46,116.45,116.86,64582162,0.0
2020-10-22,117.45,118.04,114.59,115.7737,90166742,0.0
2020-10-23,116.39,116.55,114.28,115.04,73191875,0.0
2020-10-26,114.01,116.55,112.88,115.06,94591584,0.0
2020-10-27,115.49,117.28,114.5399,116.53,80663462,0.0
2020-10-28,115.05,115.43,111.1,111.15,123242639,0.0
2020-10-29,112.37,116.93,112.2,114.52,111552689,0.0
2020-10-30,111.06,111.99,107.72,108.9,163824978,0.0
2020-11-02,109.11,110.68,107.32,108.77,106260834,0.0
2020-11-03,109.66,111.47,108.73,110.375,93660131,0.0
2020-11-04,114.14,115.59,112.35,114.94,114505478,0.0
2020-11-05,117.99,119.62,116.8686,118.99,107993032,0.0
2020-11-06,118.32,119.2,116.13,118.685,99225280,0.0
2020-11-09,120.5,121.99,116.05,116.32,129352953,0.0
2020-11-10,115.55,117.59,114.13,115.97,114408580,0.0
2020-11-11,117.19,119.63,116.44,119.51,101073157,0.0
2020-11-12,119.62,120.53,118.57,119.235,89318148,0.0
2020-11-13,119.44,119.6717,117.87,119.49,65270429,0.0
2020-11-16,118.92,120.99,118.146,120.35,82097057,0.0
2020-11-17,119.55,120.6741,118.96,119.36,66758426,0.0
2020-11-18,118.61,119.82,118,118,66333033,0.0
2020-11-19,117.59,119.06,116.81,118.64,67716820,0.0
2020-11-20,118.64,118.77,117.29,117.32,66641286,0.0
2020-11-23,117.18,117.6202,113.75,113.88,118772957,0.0
2020-11-24,113.91,115.85,112.59,115.17,103428825,0.0
2020-11-25,115.55,116.75,115.17,116.02,68910636,0.0
2020-11-27,116.57,117.49,116.22,116.6,43035501,0.0
2020-11-30,116.97,120.97,116.81,119.06,131494491,0.0
2020-12-01,121.01,123.4693,120.01,122.7,115221944,0.0
2020-12-02,122.02,123.37,120.89,123.08,75619249,0.0
2020-12-03,123.52,123.78,122.21,122.94,67399458,0.0
2020-12-04,122.6,122.8608,121.52,122.24,65287653,0.0
2020-12-07,122.31,124.57,122.25,123.8,72463180,0.0
2020-12-08,124.37,124.98,123.09,124.33,69695298,0.0
2020-12-09,124.53,125.95,121,121.67,99218318,0.0
2020-12-10,120.5,123.87,120.15,123.22,70011939,0.0
2020-12-11,122.43,122.76,120.55,122.49,75289233,0.0
2020-12-14,122.6,123.35,121.55,121.77,65119346,0.0
